Libre wave 151-250 workers=4 glossary=514 entries
FAIL siman_162\siftei-kohen\part-001.txt 3 א fetch failed
FAIL siman_162\rabbi-akiva-eiger-yd\part-001.txt 3 _ fetch failed
FAIL siman_162\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_162\baer-heitev\part-001.txt 5 ב fetch failed
FAIL siman_162\rabbi-akiva-eiger-yd\part-001.txt 4 _ fetch failed
FAIL siman_162\baer-heitev\part-001.txt 5 ג fetch failed
FAIL siman_162\turei-zahav\part-001.txt 1 א fetch failed
FAIL siman_162\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_162\turei-zahav\part-001.txt 2 א fetch failed
FAIL siman_162\yad-avraham\part-001.txt 3 _ fetch failed
FAIL siman_162\turei-zahav\part-001.txt 2 ב fetch failed
FAIL siman_162\turei-zahav\part-001.txt 3 _ fetch failed
siman_162 libre-wave DONE (17 blocks)
FAIL siman_163\baer-heitev\part-001.txt 3 א fetch failed
FAIL siman_163\baer-heitev\part-001.txt 3 ג fetch failed
FAIL siman_163\beer-hagolah\part-001.txt 3 ב fetch failed
FAIL siman_163\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_163\turei-zahav\part-001.txt 1 ד fetch failed
FAIL siman_163\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_163\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_163\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_163\yad-avraham\part-001.txt 2 _ fetch failed
FAIL siman_163\turei-zahav\part-001.txt 3 א fetch failed
FAIL siman_163\yad-avraham\part-001.txt 3 _ fetch failed
FAIL siman_163\beur-hagra\part-001.txt 3 ב fetch failed
siman_163 libre-wave DONE (8 blocks)
FAIL siman_164\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_164\siftei-kohen\part-001.txt 1 ב fetch failed
FAIL siman_164\turei-zahav\part-001.txt 1 ב fetch failed
FAIL siman_164\beur-hagra\part-001.txt 4 ב fetch failed
FAIL siman_164\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_164\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_164\yad-avraham\part-001.txt 2 _ fetch failed
FAIL siman_164\yad-avraham\part-001.txt 3 _ fetch failed
siman_164 libre-wave DONE (7 blocks)
FAIL siman_165\beer-hagolah\part-001.txt 1 ג fetch failed
FAIL siman_165\baer-heitev\part-001.txt 1 ח fetch failed
FAIL siman_165\turei-zahav\part-001.txt 1 א fetch failed
siman_165 libre-wave DONE (9 blocks)
FAIL siman_166\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_166\yad-avraham\part-001.txt 1 _ fetch failed
siman_166 libre-wave DONE (21 blocks)
FAIL siman_167\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_167\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_167\turei-zahav\part-001.txt 1 _ fetch failed
siman_167 libre-wave DONE (5 blocks)
FAIL siman_168\baer-heitev\part-001.txt 1 ג fetch failed
FAIL siman_168\mechaber\part-001.txt 9 main fetch failed
FAIL siman_168\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_168\baer-heitev\part-001.txt 11 ב fetch failed
FAIL siman_168\mechaber\part-001.txt 13 main fetch failed
FAIL siman_168\nekudot-hakesef\part-001.txt 6 _ fetch failed
FAIL siman_168\beur-hagra\part-001.txt 5 ב fetch failed
FAIL siman_168\mechaber\part-001.txt 14 main fetch failed
FAIL siman_168\nekudot-hakesef\part-001.txt 10 _ fetch failed
FAIL siman_168\baer-heitev\part-001.txt 13 ב fetch failed
FAIL siman_168\mechaber\part-001.txt 19 main fetch failed
FAIL siman_168\beur-hagra\part-001.txt 9 א fetch failed
FAIL siman_168\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_168\baer-heitev\part-001.txt 14 ב fetch failed
FAIL siman_168\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_168\beur-hagra\part-001.txt 9 ב fetch failed
FAIL siman_168\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_168\baer-heitev\part-001.txt 14 ג fetch failed
FAIL siman_168\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
